,actors,movies
689,hrishitaa bhatt,Haasil
690,irrfan khan,Haasil
691,ashutosh rana,Haasil
692,shahid kapoor,Ishq Vishk
693,amrita rao,Ishq Vishk
694,shenaz treasury,Ishq Vishk
695,vishal malhotra,Ishq Vishk
696,vikas kalantri,Nayee Padosan
697,anuj sawhney,Nayee Padosan
698,aslam khan,Nayee Padosan
699,mahek chahal,Nayee Padosan
700,shatrughan sinha,Aan: Men at Work
701,akshay kumar,Aan: Men at Work
702,sunil shetty,Aan: Men at Work
703,paresh rawal,Aan: Men at Work
704,anil kapoor,Bewafaa
705,akshay kumar,Bewafaa
706,kareena kapoor,Bewafaa
707,sushmita sen,Bewafaa
708,victor banerjee,Joggers' Park
709,perizaad zorabian,Joggers' Park
710,divya dutta,Joggers' Park
711,khalid siddiqui,Joggers' Park
712,abhishek bachchan,Mumbai Se Aaya Mera Dost
713,lara dutta,Mumbai Se Aaya Mera Dost
714,chunky pandey,Mumbai Se Aaya Mera Dost
715,aditya lakhia,Mumbai Se Aaya Mera Dost
716,amitabh bachchan,Dev
717,om puri,Dev
718,fardeen khan,Dev
719,kareena kapoor,Dev
720,sanjay dutt,Plan
721,dino morea,Plan
722,sanjay suri,Plan
723,bikram saluja,Plan
724,ajay devgn,Qayamat: City Under Threat
725,sunil shetty,Qayamat: City Under Threat
726,sanjay kapoor,Qayamat: City Under Threat
727,arbaaz khan,Qayamat: City Under Threat
728,anil kapoor,Calcutta Mail
729,rani mukerji,Calcutta Mail
730,manisha koirala,Calcutta Mail
731,satish kaushik,Calcutta Mail
732,feroz khan,Janasheen
733,fardeen khan,Janasheen
734,celina jaitly,Janasheen
735,pinky harwani,Janasheen
736,sunny deol,Kaise Kahoon Ke... Pyaar Hai
737,dharmendra,Kaise Kahoon Ke... Pyaar Hai
738,amit hingorani,Kaise Kahoon Ke... Pyaar Hai
739,farida jalal,Kaise Kahoon Ke... Pyaar Hai
740,tabu,Meenaxi: Tale of 3 Cities
741,raghuvir yadav,Meenaxi: Tale of 3 Cities
742,nadira babbar,Meenaxi: Tale of 3 Cities
743,kunal kapoor,Meenaxi: Tale of 3 Cities
744,ajay devgn,Parwana
745,ameesha patel,Parwana
746,pooja batra,Parwana
747,jagdeep,Parwana
748,sanjay dutt,Rudraksh
749,bipasha basu,Rudraksh
750,sunil shetty,Rudraksh
751,isha koppikar,Rudraksh
752,shah rukh khan,Swades
753,gayatri joshi,Swades
754,kishori balal,Swades
755,smith seth,Swades
756,arjun rampal,Asambhav
757,naseeruddin shah,Asambhav
758,priyanka chopra,Asambhav
759,singh surendra,Asambhav
760,jaya bhaduri,Desh
761,sabyasachi chakraborty,Desh
762,subhendu chatterjee,Desh
763,gyanesh mukherjee,Desh
764,javed jaffrey,Jajantaram Mamantaram
765,gulshan grover,Jajantaram Mamantaram
766,joy fernandes,Jajantaram Mamantaram
767,nishith dadhich,Jajantaram Mamantaram
768,tabu,Hawa
769,shahbaaz khan,Hawa
770,mukesh tiwari,Hawa
771,imran khan,Hawa
772,aishwarya rai bachchan,Kuch Naa Kaho
773,abhishek bachchan,Kuch Naa Kaho
774,satish shah,Kuch Naa Kaho
775,suhasini mulay,Kuch Naa Kaho
776,akshaye khanna,Hungama
777,aftab shivdasani,Hungama
778,rimi sen,Hungama
779,paresh rawal,Hungama
780,sunny deol,Khel
781,sunil shetty,Khel
782,ajay jadeja,Khel
783,celina jaitly,Khel
784,john abraham,Saaya
785,tara sharma,Saaya
786,mahima chaudhry,Saaya
787,zohra segal,Saaya
788,ajay devgn,Gangaajal
789,gracy singh,Gangaajal
790,mohan joshi,Gangaajal
791,yashpal sharma,Gangaajal
792,sunil shetty,Khanjar
793,tabu,Khanjar
794,gulshan grover,Khanjar
795,pankaj dheer,Khanjar
796,govinda,Khullam Khulla Pyaar Karen
797,preity zinta,Khullam Khulla Pyaar Karen
798,prem chopra,Khullam Khulla Pyaar Karen
799,sadashiv amrapurkar,Khullam Khulla Pyaar Karen
800,salman khan,Tere Naam
801,bhoomika chawla,Tere Naam
802,mahima chaudhry,Tere Naam
803,sachin khedekar,Tere Naam
804,aftab shivdasani,Footpath
805,bipasha basu,Footpath
806,rahul dev,Footpath
807,emraan hashmi,Footpath
808,antara mali,Main Madhuri Dixit Banna Chahti Hoon!
809,rajpal yadav,Main Madhuri Dixit Banna Chahti Hoon!
810,asif basra,Main Madhuri Dixit Banna Chahti Hoon!
811,rita bhaduri,Main Madhuri Dixit Banna Chahti Hoon!
812,sunil dutt,Munnabhai M.B.B.S.
813,sanjay dutt,Munnabhai M.B.B.S.
814,arshad warsi,Munnabhai M.B.B.S.
815,gracy singh,Munnabhai M.B.B.S.
816,amitabh bachchan,Black
817,rani mukerji,Black
818,shernaz patel,Black
819,ayesha kapoor,Black
820,naseeruddin shah,Encounter: The Killing
821,dilip prabhavalkar,Encounter: The Killing
822,tara deshpande,Encounter: The Killing
823,akash khurana,Encounter: The Killing
824,sadashiv amrapurkar,Basti
825,liyaqat bari,Basti
826,brij gopal,Basti
827,rajendra gupta,Basti
828,vijay raaz,Raghu Romeo
829,sadiya siddiqui,Raghu Romeo
830,saurabh shukla,Raghu Romeo
831,maria goretti,Raghu Romeo
832,amitabh bachchan,Aetbaar
833,john abraham,Aetbaar
834,bipasha basu,Aetbaar
835,supriya pilgaonkar,Aetbaar
836,babbu mann,Hawayein
837,ammtoje mann,Hawayein
838,mahie gill,Hawayein
839,mukul dev,Hawayein
840,saif ali khan,Hum Tum
841,rani mukerji,Hum Tum
842,kiron kher,Hum Tum
843,rati agnihotri,Hum Tum
844,om puri,Kagaar: Life on the Edge
845,nandita das,Kagaar: Life on the Edge
846,amitabh dayal,Kagaar: Life on the Edge
847,aditya kotdar,Kagaar: Life on the Edge
848,sohail khan,I Proud to Be an Indian
849,tim lawrence,I Proud to Be an Indian
850,scott hinds,I Proud to Be an Indian
851,phil jones,I Proud to Be an Indian
852,rahul bose,Ek Din 24 Ghante
853,ahmed chaudhary,Ek Din 24 Ghante
854,nandita das,Ek Din 24 Ghante
855,vinit kumar,Ek Din 24 Ghante
856,zulfi sayed,Chupke Se
857,masumeh makhija,Chupke Se
858,rati agnihotri,Chupke Se
859,tinnu anand,Chupke Se
860,manisha koirala,Market
861,suman ranganathan,Market
862,aryan vaid,Market
863,shweta menon,Market
864,suneil anand,Master
865,ting leung,Master
866,sadashiv amrapurkar,Master
867,leher kala,Master
868,rahul bose,Mumbai Matinee
869,perizaad zorabian,Mumbai Matinee
870,vijay raaz,Mumbai Matinee
871,saurabh shukla,Mumbai Matinee
872,ajay devgn,Yuva
873,abhishek bachchan,Yuva
874,rani mukerji,Yuva
875,vivek oberoi,Yuva
876,ajay devgn,Zameen
877,abhishek bachchan,Zameen
878,bipasha basu,Zameen
879,mukesh tiwari,Zameen
880,sharman joshi,Xcuse Me
881,sahil khan,Xcuse Me
882,anil chaudhary,Xcuse Me
883,snehal dabi,Xcuse Me
884,sushmita sen,Samay: When Time Strikes
885,lucy bartholomew,Samay: When Time Strikes
886,tushar dalvi,Samay: When Time Strikes
887,jatin karia,Samay: When Time Strikes
888,shah rukh khan,Yeh Lamhe Judaai Ke
889,raveena tandon,Yeh Lamhe Judaai Ke
890,navneet nishan,Yeh Lamhe Judaai Ke
891,avtar gill,Yeh Lamhe Judaai Ke
892,faisal khan,Border Hindustan Ka
893,rajat bedi,Border Hindustan Ka
894,aditya pancholi,Border Hindustan Ka
895,priya gill,Border Hindustan Ka
896,nauheed cyrusi,Inteha
897,avtar gill,Inteha
898,vidya malvade,Inteha
899,ashmit patel,Inteha
900,sadashiv amrapurkar,Raja Bhaiya
901,rakesh bedi,Raja Bhaiya
902,kajal chakraborty,Raja Bhaiya
903,aarti chhabria,Raja Bhaiya
904,arjan bajwa,Woh Tera Naam Tha
905,rajat bedi,Woh Tera Naam Tha
906,gaurav chanana,Woh Tera Naam Tha
907,prem chopra,Woh Tera Naam Tha
908,om puri,Dhoop
909,revathy,Dhoop
910,gul panag,Dhoop
911,preeti dayal,Dhoop
912,rotem bar,Jodi Kya Banayi Wah Wah Ramji
913,rakesh bedi,Jodi Kya Banayi Wah Wah Ramji
914,avtar gill,Jodi Kya Banayi Wah Wah Ramji
915,gulshan grover,Jodi Kya Banayi Wah Wah Ramji
916,mukesh ahuja,Patth
917,abhay bhargav,Patth
918,suresh chatwal,Patth
919,milind gunaji,Patth
920,arshad warsi,Waisa Bhi Hota Hai Part II
921,prashant narayanan,Waisa Bhi Hota Hai Part II
922,sandhya mridul,Waisa Bhi Hota Hai Part II
923,pratima kazmi,Waisa Bhi Hota Hai Part II
924,amitabh bachchan,Deewaar: Let's Bring Our Heroes Home
925,sanjay dutt,Deewaar: Let's Bring Our Heroes Home
926,akshaye khanna,Deewaar: Let's Bring Our Heroes Home
927,amrita rao,Deewaar: Let's Bring Our Heroes Home
928,brande roderick,Out of Control
929,noemi besedes,Out of Control
930,hrishitaa bhatt,Out of Control
931,ritesh deshmukh,Out of Control
932,arun bakshi,Aanch
933,suchindra bali,Aanch
934,poonam jhawer,Aanch
935,ayesha jhulka,Aanch
936,shahbaaz khan,Taj Mahal: A Monument of Love
937,kulbhushan kharbanda,Taj Mahal: A Monument of Love
938,poornima pathwardhan,Taj Mahal: A Monument of Love
939,raghu raj,Taj Mahal: A Monument of Love
940,amitabh bachchan,Waqt: The Race Against Time
941,akshay kumar,Waqt: The Race Against Time
942,priyanka chopra,Waqt: The Race Against Time
943,shefali shetty,Waqt: The Race Against Time
944,kapil jhaveri,Dil Pardesi Ho Gayaa
945,saloni aswani,Dil Pardesi Ho Gayaa
946,amrish puri,Dil Pardesi Ho Gayaa
947,ashutosh rana,Dil Pardesi Ho Gayaa
948,devaraj,Duplicate Sholay
949,dimple,Duplicate Sholay
950,feroz,Duplicate Sholay
951,reena kapoor,Duplicate Sholay
952,kavi kumar azad,Fun2shh... Dudes in the 10th Century
953,amitabh bachchan,Fun2shh... Dudes in the 10th Century
954,charlie,Fun2shh... Dudes in the 10th Century
955,sweety chhabra,Fun2shh... Dudes in the 10th Century
956,pankaj berry,Ghaav: The Wound
957,rahul bhat,Ghaav: The Wound
958,seema biswas,Ghaav: The Wound
959,gayatri,Ghaav: The Wound
960,bobby deol,Kismat
961,priyanka chopra,Kismat
962,kabir bedi,Kismat
963,sanjay narvekar,Kismat
964,deepak bandhu,Pratha
965,ashney shroff,Pratha
966,vicky ahuja,Pratha
967,ravindra bundela,Pratha
968,beena banerjee,Ishq Hai Tumse
969,bipasha basu,Ishq Hai Tumse
970,mohan gokhale,Ishq Hai Tumse
971,vikram gokhale,Ishq Hai Tumse
972,arya babbar,Mudda: The Issue
973,prashant narayanan,Mudda: The Issue
974,aditya srivastava,Mudda: The Issue
975,rajat kapoor,Mudda: The Issue
976,shama deshpande,Hadh: Life on the Edge of Death
977,vikram gokhale,Hadh: Life on the Edge of Death
978,ayesha jhulka,Hadh: Life on the Edge of Death
979,sharad s. kapoor,Hadh: Life on the Edge of Death
980,jugal hansraj,Hum Pyar Tumhi Se Kar Baithe
981,tina rana,Hum Pyar Tumhi Se Kar Baithe
982,sachin khedekar,Hum Pyar Tumhi Se Kar Baithe
983,vishnu sharma,Hum Pyar Tumhi Se Kar Baithe
984,vivek oberoi,Kisna: The Warrior Poet
985,isha sharvani,Kisna: The Warrior Poet
986,antonia bernath,Kisna: The Warrior Poet
987,sushmita sen,Kisna: The Warrior Poet
988,manisha koirala,Paisa Vasool
989,sushmita sen,Paisa Vasool
990,sushant singh,Paisa Vasool
991,mukesh ahuja,Paisa Vasool
992,amitabh bachchan,Ab Tumhare Hawale Watan Saathiyo
993,akshay kumar,Ab Tumhare Hawale Watan Saathiyo
994,bobby deol,Ab Tumhare Hawale Watan Saathiyo
995,divya khosla,Ab Tumhare Hawale Watan Saathiyo
996,sanjay kapoor,Jaago
997,raveena tandon,Jaago
998,manoj bajpayee,Jaago
999,puru rajkumar,Jaago
1000,nana patekar,Ab Tak Chhappan
1001,revathy,Ab Tak Chhappan
1002,yashpal sharma,Ab Tak Chhappan
1003,mohan agashe,Ab Tak Chhappan
1004,aftab shivdasani,Suno Sasurjee
1005,ameesha patel,Suno Sasurjee
1006,gulshan grover,Suno Sasurjee
1007,asrani,Suno Sasurjee
1008,manisha koirala,Tum: A Dangerous Obsession
1009,karan nath,Tum: A Dangerous Obsession
1010,rajat kapoor,Tum: A Dangerous Obsession
1011,nataneya singh,Tum: A Dangerous Obsession
1012,sonakshi sinha,Action Jackson
1013,shahid kapoor,Action Jackson
1014,ajay devgn,Action Jackson
1015,sunil shetty,Action Jackson
1016,amitabh bachchan,Hum Kaun Hai?
1017,dimple kapadia,Hum Kaun Hai?
1018,dharmendra,Hum Kaun Hai?
1019,moushumi chatterjee,Hum Kaun Hai?
1020,dino morea,Insaaf: The Justice
1021,namrata shirodkar,Insaaf: The Justice
1022,sanjay suri,Insaaf: The Justice
1023,henna,Insaaf: The Justice
1024,ajay devgn,Raincoat
1025,aishwarya rai bachchan,Raincoat
1026,annu kapoor,Raincoat
1027,mouli ganguly,Raincoat
1028,mallika sherawat,Murder
1029,ashmit patel,Murder
1030,emraan hashmi,Murder
1031,kashmira shah,Murder
1032,aamir khan,Rang De Basanti
1033,siddharth,Rang De Basanti
1034,sharman joshi,Rang De Basanti
1035,kunal kapoor,Rang De Basanti
1036,aftab shivdasani,Masti
1037,vivek oberoi,Masti
1038,ritesh deshmukh,Masti
1039,amrita rao,Masti
1040,shawar ali,Hawas
1041,tarun arora,Hawas
1042,madina,Hawas
1043,meghna naidu,Hawas
1044,sohail khan,Krishna Cottage
1045,isha koppikar,Krishna Cottage
1046,anita hassandani,Krishna Cottage
1047,rati agnihotri,Krishna Cottage
1048,aftab shivdasani,Muskaan
1049,gracy singh,Muskaan
1050,parvin dabas,Muskaan
1051,gulshan grover,Muskaan
1052,sanjay dutt,Shabd
1053,aishwarya rai bachchan,Shabd
1054,zayed khan,Shabd
1055,aakash pandey,Shabd
1056,bobby deol,Bardaasht
1057,lara dutta,Bardaasht
1058,rahul dev,Bardaasht
1059,ritesh deshmukh,Bardaasht
1060,amrita arora,Shart: The Challenge
1061,asrani,Shart: The Challenge
1062,snehal dabi,Shart: The Challenge
1063,vrajesh hirjee,Shart: The Challenge
1064,abhishek bachchan,Run
1065,bhoomika chawla,Run
1066,mahesh manjrekar,Run
1067,vijay raaz,Run
1068,rasika joshi,Gayab
1069,tusshar kapoor,Gayab
1070,ikhlaq khan,Gayab
1071,antara mali,Gayab
1072,sanjay suri,Shaadi Ka Laddoo
1073,mandira bedi,Shaadi Ka Laddoo
1074,aashish chaudhary,Shaadi Ka Laddoo
1075,divya dutta,Shaadi Ka Laddoo
1076,konkona sen sharma,Amu
1077,yashpal sharma,Amu
1078,brinda karat,Amu
1079,ankur khanna,Amu
1080,amrita arora,Girlfriend
1081,shantanu chappana,Girlfriend
1082,aashish chaudhary,Girlfriend
1083,isha koppikar,Girlfriend
1084,salman khan,Garv: Pride and Honour
1085,shilpa shetty,Garv: Pride and Honour
1086,arbaaz khan,Garv: Pride and Honour
1087,farida jalal,Garv: Pride and Honour
1088,priyanshu chatterjee,WOH
1089,cleo isaacs,WOH
1090,kasam,WOH
1091,ayub khan,WOH
1092,sanjay dutt,Dus
1093,sunil shetty,Dus
1094,abhishek bachchan,Dus
1095,zayed khan,Dus
1096,ajay devgn,Kaal
1097,vivek oberoi,Kaal
1098,john abraham,Kaal
1099,lara dutta,Kaal
1100,akshay kumar,Police Force: An Inside Story
1101,raveena tandon,Police Force: An Inside Story
1102,amrish puri,Police Force: An Inside Story
1103,mohan joshi,Police Force: An Inside Story
1104,vicky ahuja,Vaastu Shastra
1105,j.d. chakravarthi,Vaastu Shastra
1106,ahsaas channa,Vaastu Shastra
1107,peeya rai chowdhary,Vaastu Shastra
1108,arjun rampal,Elaan
1109,ameesha patel,Elaan
1110,john abraham,Elaan
1111,lara dutta,Elaan
1112,sanjay dutt,Rakht
1113,sunil shetty,Rakht
1114,bipasha basu,Rakht
1115,dino morea,Rakht
1116,salman khan,Mujhse Shaadi Karogi
1117,akshay kumar,Mujhse Shaadi Karogi
1118,priyanka chopra,Mujhse Shaadi Karogi
1119,amrish puri,Mujhse Shaadi Karogi
1120,akshay kumar,Aitraaz
1121,kareena kapoor,Aitraaz
1122,priyanka chopra,Aitraaz
1123,amrish puri,Aitraaz
1124,ashutosh rana,"Chot [Aaj Isko, Kal Tereko]"
1125,sharad s. kapoor,"Chot [Aaj Isko, Kal Tereko]"
1126,nethra raghuraman,"Chot [Aaj Isko, Kal Tereko]"
1127,ganesh yadav,"Chot [Aaj Isko, Kal Tereko]"
1128,akshay kumar,Mere Jeevan Saathi
1129,karisma kapoor,Mere Jeevan Saathi
1130,ameesha patel,Mere Jeevan Saathi
1131,gulshan grover,Mere Jeevan Saathi
1132,akshay kumar,Phir Hera Pheri
1133,sunil shetty,Phir Hera Pheri
1134,paresh rawal,Phir Hera Pheri
1135,bipasha basu,Phir Hera Pheri
1136,amitabh bachchan,Baabul
1137,salman khan,Baabul
1138,hema malini,Baabul
1139,john abraham,Baabul
1140,tisca chopra,Hyderabad Blues 2
1141,jyoti dogra,Hyderabad Blues 2
1142,anuj gurwara,Hyderabad Blues 2
1143,elahe hiptoola,Hyderabad Blues 2
1144,shabana azmi,Morning Raga
1145,prakash rao,Morning Raga
1146,lillete dubey,Morning Raga
1147,perizaad zorabian,Morning Raga
1148,kashmira shah,Revati
1149,kiran kumar,Revati
1150,ayub khan,Revati
1151,javed khan,Revati
1152,amitabh bachchan,Viruddh... Family Comes First
1153,sharmila tagore,Viruddh... Family Comes First
1154,john abraham,Viruddh... Family Comes First
1155,sanjay dutt,Viruddh... Family Comes First
1156,shah rukh khan,Veer-Zaara
1157,preity zinta,Veer-Zaara
1158,rani mukerji,Veer-Zaara
1159,kiron kher,Veer-Zaara
1160,neha dhupia,Julie
1161,priyanshu chatterjee,Julie
1162,yash tonk,Julie
1163,sanjay kapoor,Julie
1164,abhishek bachchan,Dhoom
1165,uday chopra,Dhoom
1166,john abraham,Dhoom
1167,esha deol,Dhoom
1168,kareena kapoor,Fida
1169,fardeen khan,Fida
1170,shahid kapoor,Fida
1171,kim sharma,Fida
1172,salman khan,Phir Milenge
1173,abhishek bachchan,Phir Milenge
1174,shilpa shetty,Phir Milenge
1175,mita vasisht,Phir Milenge
1176,sunny deol,Rok Sako To Rok Lo
1177,yash pandit,Rok Sako To Rok Lo
1178,manjari phadnis,Rok Sako To Rok Lo
1179,carran kapur,Rok Sako To Rok Lo
1180,sunny deol,Lakeer - Forbidden Lines
1181,sunil shetty,Lakeer - Forbidden Lines
1182,sohail khan,Lakeer - Forbidden Lines
1183,john abraham,Lakeer - Forbidden Lines
1184,sudesh berry,Aakhri Inteqam
1185,anu kashyap,Aakhri Inteqam
1186,amit pachori,Aakhri Inteqam
1187,jitender,Aakhri Inteqam
1188,laxmikant berde,Tauba Tauba
1189,bobby darling,Tauba Tauba
1190,amin gazi,Tauba Tauba
1191,ayub khan,Tauba Tauba
1192,jackie shroff,Dobara
1193,raveena tandon,Dobara
1194,mahima chaudhry,Dobara
1195,gulshan grover,Dobara
1196,bipasha basu,Madhoshi
1197,john abraham,Madhoshi
1198,priyanshu chatterjee,Madhoshi
1199,prakash bhardwaj,Madhoshi
1200,anil kapoor,Musafir
1201,sameera reddy,Musafir
1202,aditya pancholi,Musafir
1203,mahesh manjrekar,Musafir
1204,akshay kapoor,Popcorn Khao! Mast Ho Jao
1205,tanisha,Popcorn Khao! Mast Ho Jao
1206,yash tonk,Popcorn Khao! Mast Ho Jao
1207,deepak tijori,Popcorn Khao! Mast Ho Jao
1208,salman khan,Shaadi Karke Phas Gaya Yaar
1209,shilpa shetty,Shaadi Karke Phas Gaya Yaar
1210,reema lagoo,Shaadi Karke Phas Gaya Yaar
1211,mohnish bahl,Shaadi Karke Phas Gaya Yaar
1212,emraan hashmi,Tumsa Nahin Dekha
1213,dia mirza,Tumsa Nahin Dekha
1214,anupam kher,Tumsa Nahin Dekha
1215,sharat saxena,Tumsa Nahin Dekha
1216,amitabh bachchan,Sarkar
1217,abhishek bachchan,Sarkar
1218,kay kay menon,Sarkar
1219,supriya pathak,Sarkar
1220,audhitya singh,AK 47
1221,sheetal bavishi,AK 47
1222,om puri,AK 47
1223,ashish vidyarthi,AK 47
1224,akshay kumar,Hatya: The Murder
1225,varsha usgaonkar,Hatya: The Murder
1226,navin nischol,Hatya: The Murder
1227,reema lagoo,Hatya: The Murder
1228,rekha,Krrish
1229,hrithik roshan,Krrish
1230,priyanka chopra,Krrish
1231,sharat saxena,Krrish
1232,antara mali,Naach
1233,abhishek bachchan,Naach
1234,ritesh deshmukh,Naach
1235,priya badlani,Naach
1236,sunil shetty,Padmashree Laloo Prasad Yadav
1237,masumeh makhija,Padmashree Laloo Prasad Yadav
1238,mahesh manjrekar,Padmashree Laloo Prasad Yadav
1239,johnny lever,Padmashree Laloo Prasad Yadav
1240,anupam kher,Shukriya: Till Death Do Us Apart
1241,aftab shivdasani,Shukriya: Till Death Do Us Apart
1242,shriya saran,Shukriya: Till Death Do Us Apart
1243,indraneel,Shukriya: Till Death Do Us Apart
1244,vatsal seth,Taarzan: The Wonder Car
1245,ayesha takia,Taarzan: The Wonder Car
1246,ajay devgn,Taarzan: The Wonder Car
1247,farida jalal,Taarzan: The Wonder Car
1248,sunny deol,Jo Bole So Nihaal
1249,thomas tevana,Jo Bole So Nihaal
1250,gary castro churchwell,Jo Bole So Nihaal
1251,kamaal khan,Jo Bole So Nihaal
1252,amitabh bachchan,Family: Ties of Blood
1253,akshay kumar,Family: Ties of Blood
1254,bhoomika chawla,Family: Ties of Blood
1255,aryeman ramsay,Family: Ties of Blood
1256,akshaye khanna,Hulchul
1257,kareena kapoor,Hulchul
1258,sunil shetty,Hulchul
1259,paresh rawal,Hulchul
1260,shilpa shetty,Khamoshh... Khauff Ki Raat
1261,juhi chawla,Khamoshh... Khauff Ki Raat
1262,rajiv singh,Khamoshh... Khauff Ki Raat
1263,shawar ali,Khamoshh... Khauff Ki Raat
1264,saif ali khan,Parineeta
1265,vidya balan,Parineeta
1266,sanjay dutt,Parineeta
1267,dia mirza,Parineeta
1268,shomendra bose,Let's Enjoy
1269,aashish chaudhary,Let's Enjoy
1270,roshni chopra,Let's Enjoy
1271,arzoo govitrikar,Let's Enjoy
1272,akshay kumar,Insan
1273,ajay devgn,Insan
1274,tusshar kapoor,Insan
1275,esha deol,Insan
1276,arshad warsi,Kisse Pyaar Karo?n
1277,aashish chaudhary,Kisse Pyaar Karo?n
1278,yash tonk,Kisse Pyaar Karo?n
1279,udita goswami,Kisse Pyaar Karo?n
1280,tabu,Silsiilay
1281,bhoomika chawla,Silsiilay
1282,riya sen,Silsiilay
1283,celina jaitly,Silsiilay
1284,aamir khan,Fanaa
1285,kajol,Fanaa
1286,rishi kapoor,Fanaa
1287,tabu,Fanaa
1288,rishi kapoor,Pyaar Mein Twist
1289,dimple kapadia,Pyaar Mein Twist
1290,vikas bhalla,Pyaar Mein Twist
1291,emma bunton,Pyaar Mein Twist
1292,arbaaz khan,Wajahh: A Reason to Kill
1293,gracy singh,Wajahh: A Reason to Kill
1294,shamita shetty,Wajahh: A Reason to Kill
1295,zulfi sayed,Wajahh: A Reason to Kill
1296,abhishek bachchan,Dhoom:2
1297,uday chopra,Dhoom:2
1298,hrithik roshan,Dhoom:2
1299,aishwarya rai bachchan,Dhoom:2
1300,vinay anand,Mulaqaat
1301,arun bakshi,Mulaqaat
1302,rita bhaduri,Mulaqaat
1303,milind gunaji,Mulaqaat
1304,amitabh bachchan,Dil Jo Bhi Kahey...
1305,revathy,Dil Jo Bhi Kahey...
1306,karan sharma,Dil Jo Bhi Kahey...
1307,annabelle wallis,Dil Jo Bhi Kahey...
1308,mallika sherawat,Kis Kis Ki Kismat
1309,rati agnihotri,Kis Kis Ki Kismat
1310,kurush deboo,Kis Kis Ki Kismat
1311,tinnu anand,Kis Kis Ki Kismat
1312,arjun rampal,Vaada
1313,zayed khan,Vaada
1314,ameesha patel,Vaada
1315,alok nath,Vaada
1316,irrfan khan,Rog
1317,suhel seth,Rog
1318,himanshu malik,Rog
1319,shyamoli varma,Rog
1320,kareena kapoor,Milenge Milenge
1321,shahid kapoor,Milenge Milenge
1322,aarti chhabria,Milenge Milenge
1323,delnaaz irani,Milenge Milenge
1324,urmila matondkar,Naina
1325,anuj sawhney,Naina
1326,malavikka,Naina
1327,amardeep jha,Naina
1328,konkona sen sharma,Page 3
1329,atul kulkarni,Page 3
1330,sandhya mridul,Page 3
1331,tara sharma,Page 3
1332,bobby deol,A Sublime Love Story: Barsaat
1333,bipasha basu,A Sublime Love Story: Barsaat
1334,priyanka chopra,A Sublime Love Story: Barsaat
1335,gajendra chouhan,A Sublime Love Story: Barsaat
1336,ajay devgn,Blackmail
1337,sunil shetty,Blackmail
1338,priyanka chopra,Blackmail
1339,dia mirza,Blackmail
1340,akshay kumar,Deewane Huye Paagal
1341,sunil shetty,Deewane Huye Paagal
1342,shahid kapoor,Deewane Huye Paagal
1343,rimi sen,Deewane Huye Paagal
1344,shilpa shetty,Fareb
1345,manoj bajpayee,Fareb
1346,shamita shetty,Fareb
1347,parmeet sethi,Fareb
1348,akshay kumar,Humko Deewana Kar Gaye
1349,katrina kaif,Humko Deewana Kar Gaye
1350,bipasha basu,Humko Deewana Kar Gaye
1351,bhagyashree,Humko Deewana Kar Gaye
1352,john abraham,Karam
1353,priyanka chopra,Karam
1354,bharat dabholkar,Karam
1355,vishwajeet pradhan,Karam
1356,ajay devgn,Main Aisa Hi Hoon
1357,sushmita sen,Main Aisa Hi Hoon
1358,esha deol,Main Aisa Hi Hoon
1359,anupam kher,Main Aisa Hi Hoon
1360,ajay devgn,Tango Charlie
1361,bobby deol,Tango Charlie
1362,sanjay dutt,Tango Charlie
1363,sunil shetty,Tango Charlie
1364,sanjay dutt,Tathastu
1365,ameesha patel,Tathastu
1366,jayapradha,Tathastu
1367,gulshan grover,Tathastu
1368,bobby deol,Jurm
1369,lara dutta,Jurm
1370,milind gunaji,Jurm
1371,shakti kapoor,Jurm
1372,neha dhupia,Sheesha
1373,elidh macqueen,Sheesha
1374,niju mavani,Sheesha
1375,nares ngamseera,Sheesha
1376,chaitanya bhosle,Kiss Kis Ko
1377,sherrin verghese,Kiss Kis Ko
1378,bhumika puri,Kiss Kis Ko
1379,aparna kumesh,Kiss Kis Ko
1380,aryan vaid,Chaahat Ek Nasha...
1381,manisha koirala,Chaahat Ek Nasha...
1382,preeti jhangiani,Chaahat Ek Nasha...
1383,sharad s. kapoor,Chaahat Ek Nasha...
1384,vinod pande,Sins
1385,shiney ahuja,Sins
1386,seema rahmani,Sins
1387,amitabh bachchan,Bunty Aur Babli
1388,rani mukerji,Bunty Aur Babli
1389,abhishek bachchan,Bunty Aur Babli
1390,kiran juneja,Bunty Aur Babli
1391,urmila matondkar,Banaras
1392,ashmit patel,Banaras
1393,dimple kapadia,Banaras
1394,raj babbar,Banaras
1395,akshay kumar,Dosti: Friends Forever
1396,bobby deol,Dosti: Friends Forever
1397,kareena kapoor,Dosti: Friends Forever
1398,lara dutta,Dosti: Friends Forever
1399,salman khan,Lucky: No Time for Love
1400,sneha ullal,Lucky: No Time for Love
1401,mithun chakraborty,Lucky: No Time for Love
1402,kader khan,Lucky: No Time for Love
1403,fardeen khan,Shaadi No. 1
1404,zayed khan,Shaadi No. 1
1405,sharman joshi,Shaadi No. 1
1406,esha deol,Shaadi No. 1
1407,bipasha basu,Chehraa
1408,dino morea,Chehraa
1409,preeti jhangiani,Chehraa
1410,irrfan khan,Chehraa
1411,romit raaj,Hum Dum
1412,anjana sukhani,Hum Dum
