,actors,movies
151,nandita das,Aks
152,priyanshu chatterjee,Tum Bin...: Love Will Find a Way
153,himanshu malik,Tum Bin...: Love Will Find a Way
154,sandali sinha,Tum Bin...: Love Will Find a Way
155,raqesh vashisth,Tum Bin...: Love Will Find a Way
156,anil kapoor,Nayak: The Real Hero
157,rani mukerji,Nayak: The Real Hero
158,amrish puri,Nayak: The Real Hero
159,johnny lever,Nayak: The Real Hero
160,aamir khan,Dil Chahta Hai
161,saif ali khan,Dil Chahta Hai
162,akshaye khanna,Dil Chahta Hai
163,preity zinta,Dil Chahta Hai
164,fardeen khan,Hum Ho Gaye Aap Ke
165,reema sen,Hum Ho Gaye Aap Ke
166,apoorva agnihotri,Hum Ho Gaye Aap Ke
167,suman ranganathan,Hum Ho Gaye Aap Ke
168,ajay devgn,Yeh Raaste Hain Pyaar Ke
169,madhuri dixit,Yeh Raaste Hain Pyaar Ke
170,preity zinta,Yeh Raaste Hain Pyaar Ke
171,vikram gokhale,Yeh Raaste Hain Pyaar Ke
172,rekha,Lajja
173,anil kapoor,Lajja
174,jackie shroff,Lajja
175,madhuri dixit,Lajja
176,amitabh bachchan,Kaante
177,sanjay dutt,Kaante
178,sunil shetty,Kaante
179,mahesh manjrekar,Kaante
180,sudhir dalvi,Shirdi Sai Baba
181,dharmendra,Shirdi Sai Baba
182,vikram gokhale,Shirdi Sai Baba
183,rohini hattangadi,Shirdi Sai Baba
184,neeru bajwa,Bollywood Bound
185,ruby bhatia,Bollywood Bound
186,vekeana dhillon,Bollywood Bound
187,vikram dhillon,Bollywood Bound
188,ajay devgn,Company
189,mohanlal,Company
190,manisha koirala,Company
191,seema biswas,Company
192,sunil shetty,Ittefaq
193,mukul dev,Ittefaq
194,pooja batra,Ittefaq
195,anupama verma,Ittefaq
196,sunil shetty,Yeh Teraa Ghar Yeh Meraa Ghar
197,mahima chaudhry,Yeh Teraa Ghar Yeh Meraa Ghar
198,paresh rawal,Yeh Teraa Ghar Yeh Meraa Ghar
199,saurabh shukla,Yeh Teraa Ghar Yeh Meraa Ghar
200,ameesha patel,Yeh Zindagi Ka Safar
201,jimmy shergill,Yeh Zindagi Ka Safar
202,nafisa ali,Yeh Zindagi Ka Safar
203,gulshan grover,Yeh Zindagi Ka Safar
204,madhavan,Rehnaa Hai Terre Dil Mein
205,saif ali khan,Rehnaa Hai Terre Dil Mein
206,dia mirza,Rehnaa Hai Terre Dil Mein
207,vrajesh hirjee,Rehnaa Hai Terre Dil Mein
208,malaika arora,Indian
209,raj babbar,Indian
210,rana jung bahadur,Indian
211,balwant bansal,Indian
212,arjun rampal,Deewaanapan
213,dia mirza,Deewaanapan
214,vinod khanna,Deewaanapan
215,om puri,Deewaanapan
216,arjun rampal,Moksha: Salvation
217,manisha koirala,Moksha: Salvation
218,kalpana pandit,Moksha: Salvation
219,suresh oberoi,Moksha: Salvation
220,ajay devgn,Tera Mera Saath Rahen
221,sonali bendre,Tera Mera Saath Rahen
222,namrata shirodkar,Tera Mera Saath Rahen
223,prem chopra,Tera Mera Saath Rahen
224,anand raj anand,Ehsaas: The Feeling
225,sunidhi chauhan,Ehsaas: The Feeling
226,nagesh haldankar,Ehsaas: The Feeling
227,shakti kapoor,Ehsaas: The Feeling
228,shailendra gaur,Veer Savarkar
229,pankaj berry,Veer Savarkar
230,tom alter,Veer Savarkar
231,hemant birje,Veer Savarkar
232,govinda,Aamdani Atthanni Kharcha Rupaiya
233,juhi chawla,Aamdani Atthanni Kharcha Rupaiya
234,tabu,Aamdani Atthanni Kharcha Rupaiya
235,chandrachur singh,Aamdani Atthanni Kharcha Rupaiya
236,sanjay dutt,Pitaah
237,nandita das,Pitaah
238,sachin khedekar,Pitaah
239,tanvi hegde,Pitaah
240,amitabh bachchan,Aankhen
241,akshay kumar,Aankhen
242,sushmita sen,Aankhen
243,arjun rampal,Aankhen
244,jaya bhaduri,Koi Mere Dil Se Poochhe
245,aftab shivdasani,Koi Mere Dil Se Poochhe
246,sanjay kapoor,Koi Mere Dil Se Poochhe
247,juliet alburque,Koi Mere Dil Se Poochhe
248,sharman joshi,Style
249,sahil khan,Style
250,riya sen,Style
251,shillpi sharma,Style
252,sunny deol,Maa Tujhhe Salaam
253,tabu,Maa Tujhhe Salaam
254,arbaaz khan,Maa Tujhhe Salaam
255,tinnu verma,Maa Tujhhe Salaam
256,jividha sharma,Yeh Dil Aashiqanaa
257,mohan azaad,Yeh Dil Aashiqanaa
258,arun bakshi,Yeh Dil Aashiqanaa
259,rajat bedi,Yeh Dil Aashiqanaa
260,tabu,Filhaal...
261,sushmita sen,Filhaal...
262,sanjay suri,Filhaal...
263,palash sen,Filhaal...
264,akshay kumar,Haan Maine Bhi Pyaar Kiya
265,karisma kapoor,Haan Maine Bhi Pyaar Kiya
266,abhishek bachchan,Haan Maine Bhi Pyaar Kiya
267,kader khan,Haan Maine Bhi Pyaar Kiya
