source,target,weight
priyanka chopra,guddu dhanoa,2
priyanka chopra,rakesh roshan,2
priyanka chopra,vishal bhardwaj,2
priyanka kothari,ram gopal varma,2
priyanshu chatterjee,anubhav sinha,2
rahul bose,anant balani,2
rajat bedi,sandesh kohli,2
rajpal yadav,chandan arora,2
rakesh bedi,raman kumar,2
ranbir kapoor,ayan mukherjee,2
ranbir kapoor,siddharth anand,2
rani mukerji,pradeep sarkar,2
rani mukerji,sanjay leela bhansali,2
rani mukerji,shaad ali,2
ranveer singh,maneesh sharma,2
ranvir shorey,rajat kapoor,2
rati agnihotri,chandrakant singh,2
rishi kapoor,kunal kohli,2
ritesh deshmukh,eeshwar nivas,2
ritesh deshmukh,ram gopal varma,2
ritesh deshmukh,sajid khan,2
ritesh deshmukh,sangeeth sivan,2
sachin khedekar,mahesh manjrekar,2
sahil khan,n. chandra,2
saif ali khan,abbas alibhai burmawalla,2
saif ali khan,krishna d.k.,2
saif ali khan,kunal kohli,2
saif ali khan,mastan alibhai burmawalla,2
saif ali khan,raj nidimoru,2
saif ali khan,siddharth anand,2
saif ali khan,sriram raghavan,2
salil acharya,mohit suri,2
salman khan,anees bazmee,2
salman khan,k.s. adiyaman,2
saloni aswani,saawan kumar tak,2
sanjay dutt,ajay chandhok,2
sanjay dutt,anubhav sinha,2
sanjay dutt,apoorva lakhia,2
sanjay dutt,sanjay gupta,2
shaad randhawa,mohit suri,2
shah rukh khan,farhan akhtar,2
shah rukh khan,yash chopra,2
shahid kapoor,prabhudheva,2
shahid kapoor,vishal bhardwaj,2
shakti kapoor,mahesh manjrekar,2
sharman joshi,n. chandra,2
shernaz patel,sanjay leela bhansali,2
shilpa shetty,deepak tijori,2
shri vallabh vyas,madhur bhandarkar,2
snehal dabi,j.d. chakravarthi,2
sohail khan,puneet sira,2
sonam kapoor,rakeysh omprakash mehra,2
sonu sood,prabhudheva,2
sunil shetty,anees bazmee,2
sunil shetty,anubhav sinha,2
sunil shetty,harry baweja,2
sunil shetty,j.p. dutta,2
sunil shetty,mahesh manjrekar,2
sunil shetty,mani shankar,2
sunil shetty,vikram bhatt,2
sunny deol,ahmed khan,2
sunny deol,harry baweja,2
sushmita sen,david dhawan,2
tabu,guddu dhanoa,2
tusshar kapoor,rohit shetty,2
tusshar kapoor,sachin yardi,2
udita goswami,anant mahadevan,2
vidya balan,raj kumar gupta,2
vikas anand,raj n. sippy,2
vinay pathak,sagar ballary,2
vinod jaywant,ram gopal varma,2
vinod khanna,ashu trikha,2
vivek oberoi,kookie v. gulati,2
yash tonk,ajay chandhok,2
zayed khan,anubhav sinha,2
a.k. hangal,abhik bhanu,1
a.k. hangal,dev anand,1
aabhas yadav,aarif sheikh,1
aadil abedi,nitin raghunath,1
aakash pandey,leena yadav,1
aakshi khari,harish sharma,1
aamir ali malik,hansal mehta,1
aamir bashir,sanjay amar,1
aamir khan,a.r. murugadoss,1
aamir khan,aamir khan,1
aamir khan,amole gupte,1
aamir khan,ashutosh gowariker,1
aamir khan,farhan akhtar,1
aamir khan,ketan mehta,1
aamir khan,kiran rao,1
aamir khan,kunal kohli,1
aamir khan,rakeysh omprakash mehra,1
aamir khan,reema kagti,1
aamir khan,vijay krishna acharya,1
aamna shariff,glen barreto,1
aamna shariff,robby grewal,1
aanaahad,sanjay puransingh chauhan,1
aanchal sabharwal,rupali guha,1
aarav khanna,nitesh tiwari,1
aarav khanna,vikas bahl,1
aarti agarwal,joy augustine,1
aarti chhabria,ajay varma,1
aarti chhabria,k. muralimohana rao,1
aarti chhabria,kirti kumar,1
aarti chhabria,raman kumar,1
aarti chhabria,satish kaushik,1
aasad mirza,marukh mirza beig,1
aashif sheikh,yunus sajawal,1
aashish chaudhary,ajay chandhok,1
aashish chaudhary,ankur tewari,1
aashish chaudhary,indra kumar,1
aashish chaudhary,k. muralimohana rao,1
aashish chaudhary,karan razdan,1
aashish chaudhary,paritosh painter,1
aashish chaudhary,raj kaushal,1
aashish chaudhary,saurabh kabra,1
aashish chaudhary,siddharth anand kumar,1
aashish chaudhary,vishal pandya,1
abbas,rajan johri,1
abhay bhargav,j.d. chakravarthi,1
abhay bhargav,ravi sinha,1
abhay bhargav,shivram yadav,1
abhay bhargav,vicky ranawat,1
abhay deol,anurag kashyap,1
abhay deol,devika bhagat,1
abhay deol,imtiaz ali,1
abhay deol,navdeep singh,1
abhay deol,prakash jha,1
abhay deol,rajshree ojha,1
abhay deol,reema kagti,1
abhay deol,sanjay m. khanduri,1
abhay deol,shivam nair,1
abhay joshi,manav kaul,1
abhay joshi,sachin p. karande,1
abhijeet,hemant prabhu,1
abhijeet leheri,sachin p. karande,1
abhimanyu singh,mahesh nair,1
abhisar bose,jahnu barua,1
abhisar bose,rahul dholakia,1
abhishek bachchan,abbas alibhai burmawalla,1
abhishek bachchan,abhinay deo,1
abhishek bachchan,anubhav sinha,1
abhishek bachchan,anupam kher,1
abhishek bachchan,apoorva lakhia,1
abhishek bachchan,arjun sablok,1
abhishek bachchan,ashutosh gowariker,1
abhishek bachchan,dharmesh darshan,1
abhishek bachchan,j.p. dutta,1
abhishek bachchan,jeeva,1
abhishek bachchan,mastan alibhai burmawalla,1
abhishek bachchan,pradeep sarkar,1
abhishek bachchan,r. balki,1
abhishek bachchan,rakeysh omprakash mehra,1
abhishek bachchan,revathy,1
abhishek bachchan,sooraj r. barjatya,1
abhishek bachchan,tarun mansukhani,1
abhishek bachchan,vijay krishna acharya,1
abhishek c,samar shaikh,1
abhro banerjee,rafeeq ellias,1
abishek anand,dharam prakash,1
abishek anand,shakur sir,1
achint kaur,bunty soorma,1
achint kaur,pawan gill,1
achint kaur,tanuja chandra,1
achint kaur,vishal pandya,1
adah sharma,vikram bhatt,1
adah sharma,vinil matthew,1
adhyayan suman,anil devgan,1
adhyayan suman,mohit suri,1
adhyayan suman,shekhar suman,1
adi irani,adi irani,1
adi irani,chander mishra,1
adi irani,rajiv s. ruia,1
adi irani,ravi sharma shankar,1
adi irani,shiva rindan,1
adil hussain,chandra prakash dwivedi,1
adil hussain,gauri shinde,1
adil hussain,sriram raghavan,1
adil hussain,vikramaditya motwane,1
aditi govitrikar,shyam ramsay,1
aditi govitrikar,sushen bhatnagar,1
aditi khanna,neeraj ghaywan,1
aditi khanna,siddharth gupt,1
aditi rao hydari,anu menon,1
aditi rao hydari,sudhir mishra,1
aditi rao hydari,vishesh bhatt,1
aditi vasudev,amit masurkar,1
aditi vasudev,habib faisal,1
aditya bal,afzal ahmad,1
aditya banerjee,prawaal raman,1
aditya kotdar,n. chandra,1
aditya lakhia,apoorva lakhia,1
aditya lakhia,kittu saluja,1
aditya lakhia,wilson louis,1
aditya narayan,vikram bhatt,1
aditya om,aditya om,1
aditya pancholi,sanjay gupta,1
aditya pancholi,shamin desai,1
aditya pancholi,yogesh bharadwaj,1
aditya rajput,mehul kumar,1
aditya roy kapoor,ayan mukherjee,1
aditya roy kapoor,habib faisal,1
aditya roy kapoor,mohit suri,1
aditya roy kapoor,sanjay leela bhansali,1
aditya seal,shashilal k. nair,1
aditya srivastava,anurag kashyap,1
aditya srivastava,kamika verma,1
aditya srivastava,kanika verma,1
aditya srivastava,saurabh shukla,1
aditya srivastava,sriram raghavan,1
aditya srivastava,wilson louis,1
adityansh,ujjwal singh,1
adnan khalid,c. jenner jose,1
adyasha,deepak tijori,1
aftab shivdasani,a. muthu,1
aftab shivdasani,antara mali,1
aftab shivdasani,anupam sinha,1
aftab shivdasani,ganesh acharya,1
aftab shivdasani,glen barreto,1
aftab shivdasani,k. muralimohana rao,1
aftab shivdasani,partho mitra,1
aftab shivdasani,priyadarshan,1
aftab shivdasani,robby grewal,1
aftab shivdasani,rohit manash,1
aftab shivdasani,rohit nayyar,1
aftab shivdasani,satchit puranik,1
aftab shivdasani,suparn verma,1
aftab shivdasani,vimal kumar,1
aftab shivdasani,vinay shukla,1
ahad khan,rakesh sawant,1
aham sharma,rajesh ganguly,1
aham sharma,rajesh pandey,1
ahmed chaudhary,anant balani,1
ahmed chaudhary,ruchi narain,1
ahraz ahmed,sohail tatari,1
ahsaas channa,milind gadagkar,1
ahsaas channa,rajiv s. ruia,1
ahsaas channa,ram gopal varma,1
ahsaas channa,saurab narang,1
ahwaan,jaiveer,1
aishwarya,raj kumar gupta,1
aishwarya rai bachchan,ashutosh gowariker,1
aishwarya rai bachchan,deepak sareen,1
aishwarya rai bachchan,j.p. dutta,1
aishwarya rai bachchan,leena yadav,1
aishwarya rai bachchan,naresh malhotra,1
aishwarya rai bachchan,rajkumar santoshi,1
aishwarya rai bachchan,ram gopal varma,1
aishwarya rai bachchan,rituparno ghosh,1
aishwarya rai bachchan,rohan sippy,1
aishwarya rai bachchan,samir karnik,1
aishwarya rai bachchan,sanjay gadhvi,1
aishwarya rai bachchan,vipul amrutlal shah,1
ajay bhandari,kaushik ghatak,1
ajay chaudhary,aarif sheikh,1
ajay devgn,abbas alibhai burmawalla,1
ajay devgn,afzal khan,1
ajay devgn,ajay devgn,1
ajay devgn,amaan khan,1
ajay devgn,anees bazmee,1
ajay devgn,anil devgan,1
ajay devgn,anubhav sinha,1
ajay devgn,david dhawan,1
ajay devgn,deepak bahry,1
ajay devgn,deepak s. shivdasani,1
ajay devgn,j.p. dutta,1
ajay devgn,john mathew matthan,1
ajay devgn,k. subhash,1
ajay devgn,kireet khurana,1
ajay devgn,madhur bhandarkar,1
ajay devgn,mahesh manjrekar,1
ajay devgn,mani ratnam,1
ajay devgn,mani shankar,1
ajay devgn,mastan alibhai burmawalla,1
ajay devgn,prabhudheva,1
ajay devgn,rituparno ghosh,1
ajay devgn,sajid khan,1
ajay devgn,soham shah,1
ajay devgn,tabrez hashmi,1
ajay devgn,vipul amrutlal shah,1
ajay devgn,vishal bhardwaj,1
ajay gehi,ram gopal varma,1
ajay jadeja,yusuf khan,1
ajay sinh rathod,ramesh rout,1
ajaz khan,zubair khan,1
ajinkya deo,mohan sharma,1
ajita,mohan sharma,1
akanksha malhotra,umesh mehra,1
akansha,jain rakesh,1
akash,arup dutta,1
akash,g. venugopal,1
akash chopra,amrit sagar,1
akash hora,sundeep malani,1
akash khurana,ajay phansekar,1
akash nair,kittu saluja,1
akhil kapur,anand kumar,1
